"customer_ID","total_bill","female","male","smoker","non_smoker","tip"
120,17.89,0,1,1,0,2
121,11.61,0,1,0,1,3.39
122,7.25,1,0,0,1,1
123,15.98,0,1,0,1,2.03
124,12.46,0,1,0,1,1.5
125,16.66,0,1,0,1,3.4
126,19.08,0,1,0,1,1.5
127,16.21,1,0,0,1,2
128,24.08,1,0,0,1,2.92
129,15.98,1,0,0,1,3
130,21.7,0,1,0,1,4.3
131,14.15,1,0,0,1,2
132,22.23,0,1,0,1,5
133,10.07,0,1,0,1,1.25
134,9.68,0,1,0,1,1.32
135,16.99,1,0,0,1,1.01
136,28.55,0,1,0,1,2.05
137,22.42,1,0,1,0,3.48
138,20.23,0,1,0,1,2.01
139,48.17,0,1,0,1,5
140,24.55,0,1,0,1,2
141,20.29,1,0,0,1,2.75
142,10.09,1,0,1,0,2
143,11.69,0,1,0,1,2.31
144,18.28,0,1,0,1,4
145,14.26,0,1,0,1,2.5
146,16.27,1,0,1,0,2.5
147,13.39,1,0,0,1,2.61
148,14.31,1,0,1,0,4
149,22.67,0,1,1,0,2
150,12.66,0,1,0,1,2.5
151,20.78,1,1,0,1,2.44
152,20.29,0,1,1,0,3.21
153,12.02,0,1,0,1,1.97
154,25.89,0,1,1,0,5.16
155,17.46,0,1,0,1,2.54
156,24.59,1,0,0,1,3.61
157,32.4,0,1,0,1,6
158,12.69,0,1,0,1,2
159,13.94,0,1,0,1,3.06
160,43.11,1,0,1,0,5
161,26.41,1,0,0,1,1.5
162,8.51,1,0,0,1,1.25
163,32.9,0,1,1,0,3.11
164,9.78,0,1,0,1,1.73
165,17.29,0,1,0,1,2.71
166,7.25,0,1,1,0,5.15
167,15.42,0,1,0,1,1.57
168,12.9,1,0,1,0,1.1
169,22.75,1,0,0,1,3.25
170,18.35,0,1,0,1,2.5
171,14.83,1,0,0,1,3.02
172,16.58,0,1,1,0,4
173,28.44,0,1,1,0,2.56
174,15.69,0,1,1,0,1.5
175,12.54,0,1,0,1,2.5
176,26.88,0,1,0,1,3.12
177,22.76,0,1,0,1,3
178,18.43,0,1,0,1,3
179,13,1,0,1,0,2
180,9.94,0,1,0,1,1.56
181,13.42,1,0,0,1,1.68
182,23.1,0,1,1,0,4
183,12.03,0,1,1,0,1.5
184,10.77,0,1,0,1,1.47
185,30.06,0,1,1,0,2
186,9.55,0,1,0,1,1.45
187,18.29,0,1,0,1,3
188,16.93,1,0,0,1,3.07
189,8.77,0,1,0,1,2
190,16.43,1,0,0,1,2.3
191,17.31,1,0,0,1,3.5
192,16.29,0,1,0,1,3.71
193,7.51,0,1,0,1,2
194,34.3,0,1,0,1,6.7
195,25.29,0,1,0,1,4.71
196,29.8,1,0,0,1,4.2
197,14.73,1,0,0,1,2.2
198,18.15,1,0,1,0,3.5
199,24.06,0,1,0,1,3.6
200,26.59,0,1,1,0,3.41
201,5.75,1,0,1,0,1
202,13.81,0,1,1,0,2
203,25.28,1,0,1,0,5
204,7.56,0,1,0,1,1.44
205,25.21,0,1,1,0,4.29
206,18.29,0,1,1,0,3.76
207,12.26,1,0,0,1,2
208,16.04,0,1,0,1,2.24
209,23.95,0,1,0,1,2.55
210,40.55,0,1,1,0,3
211,13.51,0,1,1,0,2
212,16.82,0,1,1,0,4
213,38.01,0,1,1,0,3
214,22.49,0,1,0,1,3.5
215,20.49,0,1,1,0,4.06
216,29.93,0,1,0,1,5.07
217,23.33,0,1,1,0,5.65
218,13.13,0,1,0,1,2
219,13.16,1,0,0,1,2.75
220,24.52,0,1,0,1,3.48
221,16.32,1,0,1,0,4.3
222,18.24,0,1,0,1,3.76
223,24.01,0,1,1,0,2
224,11.35,1,0,1,0,2.5
225,18.71,0,1,1,0,4
226,18.78,1,0,0,1,3
227,16.47,1,0,1,0,3.23
228,25.71,1,0,0,1,4
229,38.73,0,1,1,0,3
230,10.07,1,0,0,1,1.83
231,27.18,1,0,1,0,2
232,13.27,1,0,1,0,2.5
233,3.07,1,0,1,0,1
234,40.17,0,1,1,0,4.73
235,17.92,0,1,1,0,3.08
236,13,1,0,1,0,2
237,39.42,0,1,0,1,7.58
238,10.27,0,1,0,1,1.71
239,32.83,0,1,1,0,1.17
240,25.56,0,1,0,1,4.34
241,11.59,0,1,1,0,1.5
242,12.16,0,1,1,0,2.2
243,22.82,0,1,0,1,2.18
244,14.07,0,1,0,1,2.5
245,11.24,0,1,1,0,1.76
246,11.17,1,0,0,1,1.5
247,15.04,0,1,0,1,1.96
248,50.81,0,1,1,0,10
